Agency,AgencyFull,Country,Total,FirstHalf,SecondHalf,SubSector,Sector,AgencyType,Ccode
NOSTOS,NOSTOS ‘Nostos’ Organisation for Social Integration ,Greece,260719.2354,116645.1613,144074.0741,Community Services,Protection,NGO,Greece
NOSTOS,NOSTOS ‘Nostos’ Organisation for Social Integration ,Greece,318348.865,116645.1613,201703.7037,Education,Protection,NGO,Greece
NOSTOS,NOSTOS ‘Nostos’ Organisation for Social Integration ,Greece,650931.8996,218709.6774,432222.2222,Food,Food,NGO,Greece
OXFAM,Oxfam,Greece,152002.1033,75433.49044,76568.61284,SGBV,Protection,INGO,Greece
OXFAM,Oxfam,Greece,1075262.662,628612.4204,446650.2416,Food,Food,INGO,Greece
OXFAM,Oxfam,Greece,45599.19456,22629.33429,22969.86028,Transport,Logistics and Transport,INGO,Greece
OXFAM,Oxfam,Greece,2280033.943,1131503.545,1148530.399,NFI,Shelter and NFIs,INGO,Greece
OXFAM,Oxfam,Greece,633342.097,314306.2102,319035.8868,WASH,WASH,INGO,Greece
PRAKSIS,PRAKSIS Projects of Development Social Support and Medical Cooperation ,Greece,3389620.764,1009090.041,2380530.722,Child Protection,Protection,NGO,Greece
PRAKSIS,PRAKSIS Projects of Development Social Support and Medical Cooperation ,Greece,6671526.061,3343247.814,3328278.248,Food,Food,NGO,Greece
PRAKSIS,PRAKSIS Projects of Development Social Support and Medical Cooperation ,Greece,2118753.175,933612.1448,1185141.03,Health,Health and Nutrition,NGO,Greece
SCI ,SCI Save the Children,Greece,5137714.573,2647428.752,2490285.822,Child Protection,Protection,INGO,Greece
SCI ,SCI Save the Children,Greece,4852171.692,2176085.863,2676085.83,Food,Food,INGO,Greece
SCI ,SCI Save the Children,Greece,1217142.925,608571.47,608571.4548,Nutrition,Health and Nutrition,INGO,Greece
SCI ,SCI Save the Children,Greece,1714285.81,857142.9156,857142.8941,Transport,Logistics and Transport,INGO,Greece
Solidarity Now,Solidarity Now,Greece,248262.1766,182845.7831,65416.39344,Protection,Protection,NGO,Greece
Solidarity Now,Solidarity Now,Greece,393169.2672,302939.759,90229.5082,Communication with Communities,Protection,NGO,Greece
Solidarity Now,Solidarity Now,Greece,600568.5562,412214.4578,188354.0984,Shelter,Shelter and NFIs,NGO,Greece
MDM Medecins du Monde,MDM Medecins du Monde,Greece,7407757,4444654,2963103,Health,Health and Nutrition,NGO,Greece
UNHCR ,UNHCR United Nations High Commissioner for Refugees,Serbia,843849,421924.5,421924.5,Operational Support,Operational Support,UN,Serbia
UNHCR ,UNHCR United Nations High Commissioner for Refugees,Greece,16130541,8065270.5,8065270.5,Protection,Protection,UN,Greece
UNHCR ,UNHCR United Nations High Commissioner for Refugees,Greece,91430404.6,45715202.3,45715202.3,Shelter and Infrastructure,Shelter and NFIs,UN,Greece
UNHCR ,UNHCR United Nations High Commissioner for Refugees,Greece,14268278,7134139,7134139,NFIs,Shelter and NFIs,UN,Greece
UNHCR ,UNHCR United Nations High Commissioner for Refugees,Greece,786314.8,393157.4,393157.4,WASH,WASH,UN,Greece
UNHCR ,UNHCR United Nations High Commissioner for Refugees,Greece,2081459.6,1040729.8,1040729.8,Health,Health and Nutrition,UN,Greece
UNHCR ,UNHCR United Nations High Commissioner for Refugees,Greece,6627513,3313756.5,3313756.5,Logistics and Transport,Logistics and Transport,UN,Greece
UNICEF ,UNICEF United Nations Children's Fund  ,Greece,2432000,1685000,747000,Protection,Protection,UN,Greece
UNICEF ,UNICEF United Nations Children's Fund  ,Greece,790000,395000,395000,Education,Protection,UN,Greece
UNICEF ,UNICEF United Nations Children's Fund  ,Greece,130000,72000,58000,Health,Health and Nutrition,UN,Greece
UNICEF ,UNICEF United Nations Children's Fund  ,Greece,850000,750000,100000,WASH ,WASH,UN,Greece
UNICEF ,UNICEF United Nations Children's Fund  ,Greece,1260000,945000,315000,Operational Support,Operational Support,UN,Greece
Volunteer Center Slavonski Brod,Volunteer Center Slavonski Brod,Croatia,32000,16500,15500,Protection,Protection,NGO,Croatia
Croatian Red Cross,Croatian Red Cross,Croatia,1975677,1202531,773146,Protection,Protection,NGO,Croatia
Croatian Red Cross,Croatian Red Cross,Croatia,46979,23490,23490,Food,Food,NGO,Croatia
Croatian Red Cross,Croatian Red Cross,Croatia,735176,441451,293724,NFIs,Shelter and NFIs,NGO,Croatia
Croatian Red Cross,Croatian Red Cross,Croatia,444010,444010,,Shelter and Infrastructure,Shelter and NFIs,NGO,Croatia
Croatian Red Cross,Croatian Red Cross,Croatia,1398721,1044445,354275,Logistics and Transport,Logistics and Transport,NGO,Croatia
Croatian Red Cross,Croatian Red Cross,Croatia,1534311,767155,767155,WASH,WASH,NGO,Croatia
SCI ,SCI Save the Children,Croatia,124394,62197,62197,Protection,Protection,INGO,Croatia
SCI ,SCI Save the Children,Croatia,911372.4504,546823.739,364548.7114,Health ,Health and Nutrition,INGO,Croatia
SCI ,SCI Save the Children,Croatia,567837.1831,339921.1134,227916.0696,Shelter and Infrastructure,Shelter and NFIs,INGO,Croatia
JRS ,JRS Jesuit Refugee Services,Croatia,187920,69084,118836,Protection,Protection,INGO,Croatia
Samaritan Purse,Samaritan Purse,Croatia,2803884.4,1776643.3,1027241.1,NFIs,Shelter and NFIs,INGO,Croatia
Samaritan Purse,Samaritan Purse,Croatia,2109089.6,1312030.6,797059,WASH,WASH,INGO,Croatia
Information Legal Center,Information Legal Center,Croatia,68000,34000,34000,Protection,Protection,NGO,Croatia
Croatian Law Center,Croatian Law Center,Croatia,86539.97,51080.45,35459.52,Protection,Protection,NGO,Croatia
CARE International,CARE International,Croatia,53177.6,26588.8,26588.8,Protection,Protection,INGO,Croatia
CARE International,CARE International,Croatia,326569.9,98747.3,227822.6,Health,Health and Nutrition,INGO,Croatia
CARE International,CARE International,Croatia,221249.8,110624.9,110624.9,Shelter and Infrastructure,Shelter and NFIs,INGO,Croatia
CARE International,CARE International,Croatia,31052.6,15526.3,15526.3,WASH,WASH,INGO,Croatia
ADRA ,ADRA Adventist Development and Relief Agency,Croatia,467775,220000,247775,Protection,Protection,INGO,Croatia
ADRA ,ADRA Adventist Development and Relief Agency,Croatia,467775,220000,247775,NFIs,Shelter and NFIs,INGO,Croatia
UNICEF ,UNICEF United Nations Children's Fund  ,Croatia,1200000,600000,600000,Shelter and Infrastructure,Shelter and NFIs,UN,Croatia
UNICEF ,UNICEF United Nations Children's Fund  ,Croatia,900000,450000,450000,Protection,Protection,UN,Croatia
UNICEF ,UNICEF United Nations Children's Fund  ,Croatia,900000,450000,450000,Health,Health and Nutrition,UN,Croatia
UNICEF ,UNICEF United Nations Children's Fund  ,Croatia,420000,210000,210000,Operational Support,Operational Support,UN,Croatia
WHO ,WHO World Health Organization,Croatia,800000,400000,400000,Health,Health and Nutrition,UN,Croatia
WHO ,WHO World Health Organization,Croatia,104000,52000,52000,Operational Support,Operational Support,UN,Croatia
IOM ,IOM International Organization for Migration,Croatia,1750000,875000,875000,Protection,Protection,IOM,Croatia
IOM ,IOM International Organization for Migration,Croatia,1250000,625000,625000,Health,Health and Nutrition,IOM,Croatia
IOM ,IOM International Organization for Migration,Croatia,1000000,500000,500000,Logistics and Transport,Logistics and Transport,IOM,Croatia
IOM ,IOM International Organization for Migration,Croatia,1230000,615000,615000,Shelter and Infrastructure,Shelter and NFIs,IOM,Croatia
UNHCR ,UNHCR United Nations High Commissioner for Refugees,Greece,9192716,4596358,4596358,Operational Support,Operational Support,UN,Greece
UNHCR ,UNHCR United Nations High Commissioner for Refugees,Croatia,1344660.6,672330.3,672330.3,Protection,Protection,UN,Croatia
UNHCR ,UNHCR United Nations High Commissioner for Refugees,Croatia,1726201.4,863100.7,863100.7,Shelter and Infrastructure,Shelter and NFIs,UN,Croatia
UNHCR ,UNHCR United Nations High Commissioner for Refugees,Croatia,214960,107480,107480,Operational Support,Operational Support,UN,Croatia
UNHCR ,UNHCR United Nations High Commissioner for Refugees,Turkey,3409778,1704889,1704889,Protection,Protection,UN,Turkey
UNHCR ,UNHCR United Nations High Commissioner for Refugees,Turkey,1376000,688000,688000,NFIs,Shelter and NFIs,UN,Turkey
UNHCR ,UNHCR United Nations High Commissioner for Refugees,Turkey,335004,167502,167502,Operational Support,Operational Support,UN,Turkey
IOM ,IOM International Organization for Migration,Turkey,12750000,8750000,4000000,Protection,Protection,IOM,Turkey
IOM ,IOM International Organization for Migration,Turkey,2000000,1000000,1000000,Health,Health and Nutrition,IOM,Turkey
IOM ,IOM International Organization for Migration,Turkey,10000000,5000000,5000000,NFIs,Shelter and NFIs,IOM,Turkey
UNICEF ,UNICEF United Nations Children's Fund  ,Turkey,1500000,750000,750000,Child Protection,Protection,UN,Turkey
