Agency,AgencyFull,Country,Total,FirstHalf,SecondHalf,SubSector,Sector,AgencyType,Ccode
Mercy Corps,Mercy Corps,Greece,74714.08539,74714.08539,,Transport,"Logistics, Transport, Telecomms",INGO,Greece
Mercy Corps,Mercy Corps,Greece,1147887.546,1147887.546,,Shelter grants ,Shelter and NFIs,INGO,Greece
Mercy Corps,Mercy Corps,fYR Macedonia,572375.8185,372255.1151,200120.7033,Protection,Protection,INGO,Macedonia
Mercy Corps,Mercy Corps,fYR Macedonia,670963.1815,436108.8849,234854.2967,Shelter and NFIs,Shelter and NFIs,INGO,Macedonia
MYLA ,MYLA ,fYR Macedonia,125091,54833,70258,Protection,Protection,NGO,Macedonia
NOSTOS,NOSTOS,Greece,260719.2354,116645.1613,144074.0741,Community Services,Protection,NGO,Greece
NOSTOS,NOSTOS,Greece,318348.865,116645.1613,201703.7037,Education,Protection,NGO,Greece
NOSTOS,NOSTOS,Greece,650931.8996,218709.6774,432222.2222,Food,Food,NGO,Greece
Nun Kultura,Nun Kultura,fYR Macedonia,1261975,630987.5,630987.5,Food Distribution,Food,NGO,Macedonia
Nun Kultura,Nun Kultura,fYR Macedonia,374300,187150,187150,NFIs,Shelter and NFIs,NGO,Macedonia
Nun Kultura,Nun Kultura,fYR Macedonia,108000,54000,54000,Hygiene,WASH,NGO,Macedonia
OHCHR ,OHCHR Office of the High Commissioner for Human Rights,Regional,190462,95231,95231,Protection,Protection,UN,Regional
OHCHR ,OHCHR Office of the High Commissioner for Human Rights,fYR Macedonia,60000,30000,30000,Protection,Protection,UN,Macedonia
Operation Mercy,Operation Mercy,fYR Macedonia,21166,21166,0,Food Distribution,Food,NGO,Macedonia
Operation Mercy,Operation Mercy,fYR Macedonia,26453,26453,0,NFIs,Shelter and NFIs,NGO,Macedonia
Operation Mercy,Operation Mercy,fYR Macedonia,37041,37041,0,Infrastructure,Shelter and NFIs,NGO,Macedonia
OXFAM,OXFAM,Serbia,535754.6845,404209.5943,131545.0902,NFIs,Shelter and NFIs,INGO,Serbia
OXFAM,OXFAM,Serbia,300000,150000,150000,Operational Support,Shelter and NFIs,INGO,Serbia
OXFAM,OXFAM,Greece,152002.1033,75433.49044,76568.61284,SGBV,Protection,INGO,Greece
OXFAM,OXFAM,Greece,1075262.662,628612.4204,446650.2416,Food,Food,INGO,Greece
OXFAM,OXFAM,Greece,45599.19456,22629.33429,22969.86028,Transport,"Logistics, Transport, Telecomms",INGO,Greece
OXFAM,OXFAM,Greece,2280033.943,1131503.545,1148530.399,NFI,Shelter and NFIs,INGO,Greece
OXFAM,OXFAM,Greece,633342.097,314306.2102,319035.8868,WASH,WASH,INGO,Greece
Peace Institute,Peace Institute,Slovenia ,50000,25000,25000,Protection,Protection,NGO,Slovenia
PIC,PIC,Slovenia ,638000,357000,281000,Protection,Protection,NGO,Slovenia
EHO-Podpornica with HIA,Podpornica Evangelical Humanitarian Organisation with (HIA) Hungarian Interchurch Aid,Slovenia ,130400.371,66486.8228,63913.54817,Protection,Protection,NGO,Slovenia
EHO-Podpornica with HIA,Podpornica Evangelical Humanitarian Organisation with (HIA) Hungarian Interchurch Aid,Slovenia ,17259.81904,10024.47353,7235.345506,Education,Protection,NGO,Slovenia
EHO-Podpornica with HIA,Podpornica Evangelical Humanitarian Organisation with (HIA) Hungarian Interchurch Aid,Slovenia ,207256.4386,120430.0133,86826.42528,Health and Nutrition,Health and Nutrition,NGO,Slovenia
EHO-Podpornica with HIA,Podpornica Evangelical Humanitarian Organisation with (HIA) Hungarian Interchurch Aid,Slovenia ,42651.43197,42651.43197,0,Shelter and NFIs,Shelter and NFIs,NGO,Slovenia
EHO-Podpornica with HIA,Podpornica Evangelical Humanitarian Organisation with (HIA) Hungarian Interchurch Aid,Slovenia ,64748.93939,37013.25835,27735.68104,Logistics and Transport,"Logistics, Transport, Telecomms",NGO,Slovenia
PRAKSIS,PRAKSIS,Greece,3389620.764,1009090.041,2380530.722,Child Protection,Protection,NGO,Greece
